Date,Gestión de Costos
1950-01,0.0
1951-01,0.0
1952-01,0.0
1953-01,0.0
1954-01,0.0
1955-01,0.0
1956-01,0.0
1957-01,0.0
1958-01,0.0
1959-01,0.0
1960-01,0.0
1961-01,0.0
1962-01,0.0
1963-01,0.0
1964-01,0.0
1965-01,0.0
1966-01,0.0
1967-01,0.0
1968-01,0.0
1969-01,0.0
1970-01,0.0
1971-01,0.0
1972-01,0.0
1973-01,0.0
1974-01,0.0
1975-01,0.0
1976-01,0.0
1977-01,0.0
1978-01,0.0
1979-01,0.0
1980-01,0.0
1981-01,0.0
1982-01,0.0
1983-01,0.0
1984-01,0.0
1985-01,0.0
1986-01,0.0
1987-01,0.0
1988-01,0.0
1989-01,0.0
1990-01,0.0
1991-01,0.0
1992-01,0.0
1993-01,0.0
1994-01,0.0
1995-01,0.0
1996-01,0.0
1997-01,0.0
1998-01,0.0
1999-01,0.0
2000-01,0.0
2001-01,5.399897509945262e-05
2002-01,0.0
2003-01,4.827412752962462e-05
2004-01,0.0
2005-01,0.0
2006-01,3.859741621176395e-05
2007-01,0.0
2008-01,0.0
2009-01,0.0
2010-01,2.8944171613466797e-05
2011-01,0.0
2012-01,0.0
2013-01,2.2835090683853876e-05
2014-01,0.0
2015-01,0.0
2016-01,1.9712015340678818e-05
2017-01,1.8131435866482284e-05
2018-01,6.810741083548043e-05
2019-01,1.5448589180765948e-05
2020-01,1.3605788337744105e-05
2021-01,1.3289296149705515e-05
2022-01,2.4445009667390197e-05
2023-01,5.910595155557999e-05
2024-01,9.394855072029767e-05
