Date,Gestión del Cambio
1950-01,41
1950-02,17
1950-03,6
1950-04,47
1950-05,23
1950-06,10
1950-07,47
1950-08,8
1950-09,11
1950-10,38
1950-11,12
1950-12,41
1951-01,56
1951-02,18
1951-03,35
1951-04,38
1951-05,25
1951-06,17
1951-07,35
1951-08,1
1951-09,33
1951-10,27
1951-11,36
1951-12,38
1952-01,53
1952-02,7
1952-03,100
1952-04,51
1952-05,18
1952-06,65
1952-07,89
1952-08,12
1952-09,41
1952-10,111
1952-11,22
1952-12,134
1953-01,100
1953-02,69
1953-03,29
1953-04,38
1953-05,34
1953-06,14
1953-07,58
1953-08,16
1953-09,30
1953-10,56
1953-11,32
1953-12,151
1954-01,203
1954-02,14
1954-03,48
1954-04,47
1954-05,39
1954-06,28
1954-07,51
1954-08,12
1954-09,35
1954-10,115
1954-11,39
1954-12,80
1955-01,185
1955-02,35
1955-03,41
1955-04,105
1955-05,35
1955-06,25
1955-07,101
1955-08,22
1955-09,63
1955-10,101
1955-11,41
1955-12,264
1956-01,296
1956-02,8
1956-03,37
1956-04,97
1956-05,43
1956-06,21
1956-07,116
1956-08,6
1956-09,51
1956-10,81
1956-11,42
1956-12,82
1957-01,136
1957-02,21
1957-03,61
1957-04,119
1957-05,27
1957-06,32
1957-07,141
1957-08,65
1957-09,46
1957-10,117
1957-11,68
1957-12,217
1958-01,160
1958-02,11
1958-03,66
1958-04,136
1958-05,35
1958-06,25
1958-07,140
1958-08,50
1958-09,58
1958-10,158
1958-11,40
1958-12,79
1959-01,217
1959-02,9
1959-03,63
1959-04,216
1959-05,67
1959-06,21
1959-07,196
1959-08,50
1959-09,71
1959-10,129
1959-11,76
1959-12,239
1960-01,373
1960-02,23
1960-03,80
1960-04,192
1960-05,29
1960-06,39
1960-07,191
1960-08,48
1960-09,43
1960-10,249
1960-11,23
1960-12,461
1961-01,313
1961-02,41
1961-03,78
1961-04,277
1961-05,37
1961-06,15
1961-07,214
1961-08,84
1961-09,86
1961-10,181
1961-11,59
1961-12,277
1962-01,285
1962-02,32
1962-03,110
1962-04,225
1962-05,44
1962-06,88
1962-07,218
1962-08,60
1962-09,130
1962-10,215
1962-11,84
1962-12,233
1963-01,295
1963-02,31
1963-03,161
1963-04,199
1963-05,90
1963-06,81
1963-07,270
1963-08,68
1963-09,114
1963-10,253
1963-11,104
1963-12,323
1964-01,277
1964-02,62
1964-03,164
1964-04,264
1964-05,105
1964-06,140
1964-07,233
1964-08,29
1964-09,197
1964-10,262
1964-11,117
1964-12,420
1965-01,265
1965-02,140
1965-03,191
1965-04,295
1965-05,149
1965-06,125
1965-07,279
1965-08,74
1965-09,182
1965-10,281
1965-11,98
1965-12,299
1966-01,398
1966-02,125
1966-03,149
1966-04,246
1966-05,98
1966-06,157
1966-07,272
1966-08,94
1966-09,170
1966-10,357
1966-11,155
1966-12,641
1967-01,411
1967-02,178
1967-03,221
1967-04,342
1967-05,157
1967-06,215
1967-07,315
1967-08,112
1967-09,214
1967-10,275
1967-11,121
1967-12,424
1968-01,338
1968-02,152
1968-03,194
1968-04,261
1968-05,212
1968-06,209
1968-07,317
1968-08,113
1968-09,240
1968-10,359
1968-11,177
1968-12,719
1969-01,485
1969-02,134
1969-03,214
1969-04,295
1969-05,245
1969-06,161
1969-07,403
1969-08,107
1969-09,235
1969-10,362
1969-11,258
1969-12,860
1970-01,1369
1970-02,187
1970-03,318
1970-04,411
1970-05,282
1970-06,221
1970-07,397
1970-08,231
1970-09,447
1970-10,449
1970-11,410
1970-12,905
1971-01,998
1971-02,232
1971-03,491
1971-04,500
1971-05,421
1971-06,313
1971-07,550
1971-08,353
1971-09,583
1971-10,521
1971-11,336
1971-12,938
1972-01,885
1972-02,374
1972-03,450
1972-04,645
1972-05,363
1972-06,422
1972-07,628
1972-08,418
1972-09,491
1972-10,632
1972-11,316
1972-12,1043
1973-01,1059
1973-02,323
1973-03,513
1973-04,773
1973-05,379
1973-06,504
1973-07,611
1973-08,405
1973-09,438
1973-10,687
1973-11,366
1973-12,768
1974-01,992
1974-02,378
1974-03,555
1974-04,724
1974-05,507
1974-06,498
1974-07,759
1974-08,456
1974-09,541
1974-10,780
1974-11,404
1974-12,1232
1975-01,1048
1975-02,365
1975-03,634
1975-04,803
1975-05,351
1975-06,785
1975-07,695
1975-08,461
1975-09,456
1975-10,802
1975-11,365
1975-12,1378
1976-01,1465
1976-02,336
1976-03,568
1976-04,926
1976-05,367
1976-06,563
1976-07,884
1976-08,497
1976-09,481
1976-10,855
1976-11,414
1976-12,1095
1977-01,1535
1977-02,328
1977-03,729
1977-04,882
1977-05,410
1977-06,585
1977-07,831
1977-08,488
1977-09,666
1977-10,876
1977-11,409
1977-12,903
1978-01,1347
1978-02,342
1978-03,779
1978-04,946
1978-05,427
1978-06,669
1978-07,734
1978-08,672
1978-09,584
1978-10,987
1978-11,558
1978-12,1166
1979-01,1399
1979-02,415
1979-03,678
1979-04,801
1979-05,508
1979-06,579
1979-07,789
1979-08,351
1979-09,756
1979-10,970
1979-11,347
1979-12,1102
1980-01,1522
1980-02,440
1980-03,859
1980-04,965
1980-05,515
1980-06,719
1980-07,754
1980-08,532
1980-09,857
1980-10,1020
1980-11,370
1980-12,1171
1981-01,1488
1981-02,318
1981-03,987
1981-04,828
1981-05,419
1981-06,782
1981-07,779
1981-08,433
1981-09,768
1981-10,964
1981-11,446
1981-12,1352
1982-01,1415
1982-02,355
1982-03,986
1982-04,920
1982-05,495
1982-06,957
1982-07,941
1982-08,466
1982-09,1013
1982-10,889
1982-11,347
1982-12,1390
1983-01,1681
1983-02,387
1983-03,949
1983-04,857
1983-05,584
1983-06,870
1983-07,891
1983-08,468
1983-09,1011
1983-10,724
1983-11,506
1983-12,1189
1984-01,1836
1984-02,589
